method                        ,description                                                                                                  ,seed ,idx ,circuit  ,V_macros ,HPWL_paper_format ,macro_legality ,data_source
CoDe_layered_large-v2         ,CoDe K=4 block_size=100 layered on opt                                                                       ,302  ,7   ,bigblue4 ,8170     ,128.5607          ,0.9873         ,metrics.csv (on disk)
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,0   ,adaptec1 ,         ,9.41              ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,1   ,adaptec2 ,         ,30.75             ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,2   ,adaptec3 ,         ,54.46             ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,3   ,adaptec4 ,         ,53.02             ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,4   ,bigblue1 ,         ,2.63              ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,5   ,bigblue2 ,         ,57.84             ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,6   ,bigblue3 ,         ,38.67             ,               ,extracted from docs/report/
DDPO_v2_3_localHPWL           ,DDPO v2.3 local HPWL reward. Per-circuit from ddpo_report_4.md                                               ,300  ,7   ,bigblue4 ,         ,131.69            ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,0   ,adaptec1 ,         ,9.04              ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,1   ,adaptec2 ,         ,34.17             ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,2   ,adaptec3 ,         ,56.41             ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,3   ,adaptec4 ,         ,55.57             ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,4   ,bigblue1 ,         ,2.74              ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,5   ,bigblue2 ,         ,57.13             ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,6   ,bigblue3 ,         ,32.47             ,               ,extracted from docs/report/
DDPO_v2_4_localLegality       ,DDPO v2.4 local HPWL+legality. Per-circuit from ddpo_report_4.md                                             ,300  ,7   ,bigblue4 ,         ,135.12            ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,0   ,adaptec1 ,         ,9.42              ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,1   ,adaptec2 ,         ,33.31             ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,2   ,adaptec3 ,         ,56.85             ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,3   ,adaptec4 ,         ,54.84             ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,4   ,bigblue1 ,         ,2.74              ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,5   ,bigblue2 ,         ,58.68             ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,6   ,bigblue3 ,         ,34.95             ,               ,extracted from docs/report/
DDPO_v2_5_lastK               ,DDPO v2.5 last-K local reward. Per-circuit from ddpo_report_5.md                                             ,300  ,7   ,bigblue4 ,         ,128.89            ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,0   ,adaptec1 ,         ,9.19              ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,1   ,adaptec2 ,         ,29.26             ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,2   ,adaptec3 ,         ,53.2              ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,3   ,adaptec4 ,         ,55.19             ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,4   ,bigblue1 ,         ,2.62              ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,5   ,bigblue2 ,         ,58.44             ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,6   ,bigblue3 ,         ,34.02             ,               ,extracted from docs/report/
DDPO_v2_PPO_seed300           ,DDPO v2 (PPO+supervised+legality). Canonical result = 44.65. Per-circuit from ddpo_report_4.md               ,300  ,7   ,bigblue4 ,         ,129.05            ,               ,extracted from docs/report/
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,0   ,adaptec1 ,         ,9.19              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,1   ,adaptec2 ,         ,29.26             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,2   ,adaptec3 ,         ,53.2              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,3   ,adaptec4 ,         ,55.19             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,4   ,bigblue1 ,         ,2.62              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,5   ,bigblue2 ,         ,58.44             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,6   ,bigblue3 ,         ,34.02             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,300  ,7   ,bigblue4 ,         ,129.05            ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,0   ,adaptec1 ,         ,8.95              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,1   ,adaptec2 ,         ,32.21             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,2   ,adaptec3 ,         ,57.44             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,3   ,adaptec4 ,         ,56.41             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,4   ,bigblue1 ,         ,2.7               ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,5   ,bigblue2 ,         ,57.16             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,6   ,bigblue3 ,         ,36.41             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,400  ,7   ,bigblue4 ,         ,130.54            ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,0   ,adaptec1 ,         ,9.32              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,1   ,adaptec2 ,         ,36.61             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,2   ,adaptec3 ,         ,57.17             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,3   ,adaptec4 ,         ,52.42             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,4   ,bigblue1 ,         ,2.7               ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,5   ,bigblue2 ,         ,56.88             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,6   ,bigblue3 ,         ,35.32             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,500  ,7   ,bigblue4 ,         ,128.56            ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,0   ,adaptec1 ,         ,9.32              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,1   ,adaptec2 ,         ,32.34             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,2   ,adaptec3 ,         ,52.65             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,3   ,adaptec4 ,         ,51.15             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,4   ,bigblue1 ,         ,2.62              ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,5   ,bigblue2 ,         ,60.26             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,6   ,bigblue3 ,         ,34.85             ,               ,extracted from ddpo_report_3.md
DDPO_v2_PPO_seed_ensemble     ,DDPO v2 PPO multi-seed evaluation (ddpo_report_3.md seed ensemble). seed=300 is canonical 'DDPO v2 = 44.65'. ,600  ,7   ,bigblue4 ,         ,130.3             ,               ,extracted from ddpo_report_3.md
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,0   ,adaptec1 ,543      ,9.3137            ,0.9782         ,metrics.csv (on disk)
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,1   ,adaptec2 ,566      ,40.2468           ,0.9772         ,metrics.csv (on disk)
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,2   ,adaptec3 ,723      ,70.0009           ,0.9964         ,metrics.csv (on disk)
